ds,yhat,sku_id
2022-11-28,-0.07535667451213182,46303774477
2022-12-05,0.017037892122007167,46303774477
2022-12-12,0.15152936884685728,46303774477
2022-12-19,0.22631016968024203,46303774477
2022-12-26,0.18067307712335673,46303774477
2023-01-02,0.054732045876207905,46303774477
2023-01-09,-0.05127023624091635,46303774477
2023-01-16,-0.07332726962388382,46303774477
2023-01-23,-0.034055191832830595,46303774477
2023-01-30,-0.001338142307324909,46303774477
2023-02-06,-0.011004685047511457,46303774477
2023-02-13,-0.0398510977009866,46303774477
2023-02-20,-0.047824673454451655,46303774477
2023-02-27,-0.029115384141823304,46303774477
2023-03-06,-0.012295112261794444,46303774477
2023-03-13,-0.01877789293007754,46303774477
2023-03-20,-0.03689111053376587,46303774477
2023-03-27,-0.04136175793634656,46303774477
2023-04-03,-0.02770170830353212,46303774477
2023-04-10,-0.015860939947123304,46303774477
2023-04-17,-0.021612482156293758,46303774477
2023-04-24,-0.03590990139552754,46303774477
2023-05-01,-0.03872820611878602,46303774477
2023-05-08,-0.026709554676871444,46303774477
2023-05-15,-0.01696043585702239,46303774477
2023-05-22,-0.023011643742034,46303774477
2023-05-29,-0.036304712313691416,46303774477
2023-06-05,-0.037996301990026016,46303774477
2023-06-12,-0.024452124963748635,46303774477
2023-06-19,-0.011793524736574485,46303774477
2023-06-26,-0.013796818523915124,46303774477
2023-07-03,-0.023557332840702907,46303774477
2023-07-10,-0.023825658694955964,46303774477
2023-07-17,-0.011575994209605698,46303774477
2023-07-24,-0.0027325485815368773,46303774477
2023-07-31,-0.010030107050913464,46303774477
2023-08-07,-0.024290961546960785,46303774477
2023-08-14,-0.025780084976525286,46303774477
2023-08-21,-0.01138823796324361,46303774477
2023-08-28,-0.00032012356132617506,46303774477
2023-09-04,-0.008670730058416613,46303774477
2023-09-11,-0.026252050210289216,46303774477
2023-09-18,-0.02856493304889462,46303774477
2023-09-25,-0.01033780484841298,46303774477
2023-10-02,0.004585697722842206,46303774477
2023-10-09,-0.006239712837220718,46303774477
2023-10-16,-0.03111695875057699,46303774477
2023-10-23,-0.03547054787344553,46303774477
2023-10-30,-0.00802524261301683,46303774477
2023-11-06,0.017632282555906792,46303774477
2023-11-13,0.0015963483342506732,46303774477
2023-11-20,-0.04444508207514082,46303774477
2023-11-27,-0.054582288325709216,46303774477
2023-12-04,0.022720510650587094,46303774477
2023-12-11,0.15673237805873094,46303774477
2023-12-18,0.24911830844180805,46303774477
2023-12-25,0.2250338462458421,46303774477
2024-01-01,0.106600744239099,46303774477
2024-01-08,-0.00987716717752243,46303774477
2024-01-15,-0.04770259267817199,46303774477
2024-01-22,-0.014635865582029377,46303774477
2024-01-29,0.02361779212804903,46303774477
2024-02-05,0.021263895846964222,46303774477
2024-02-12,-0.007449680863846189,46303774477
2024-02-19,-0.020930864466895117,46303774477
2024-02-26,-0.005437337973072057,46303774477
2024-03-04,0.014082506166227669,46303774477
2024-03-11,0.011845010686479845,46303774477
2024-03-18,-0.0061670266625094075,46303774477
2024-03-25,-0.01430431317843002,46303774477
2024-04-01,-0.002848380981283226,46303774477
2024-04-08,0.011035019088231578,46303774477
2024-04-15,0.008492962913974864,46303774477
2024-04-22,-0.005829618410583104,46303774477
2024-04-29,-0.011683217760943776,46303774477
2024-05-06,-0.001429224214270216,46303774477
2024-05-13,0.010204707073159751,46303774477
2024-05-20,0.007010131008147949,46303774477
2024-05-27,-0.006433016894094937,46303774477
2024-06-03,-0.01115256201866359,46303774477
2024-06-10,0.00047531255264094546,46303774477
2024-06-17,0.014737209671594469,46303774477
2024-06-24,0.015483543485068006,46303774477
2024-07-01,0.0058039973132832795,46303774477
2024-07-08,0.002958556191860199,46303774477
2024-07-15,0.013781616506136369,46303774477
2024-07-22,0.02463322221886529,46303774477
2024-07-29,0.02021784666136123,46303774477
2024-08-05,0.005689500716246722,46303774477
2024-08-12,0.0009284582444698784,46303774477
2024-08-19,0.013455691145509275,46303774477
2024-08-26,0.02683063655424873,46303774477
2024-09-02,0.022033916215359432,46303774477
2024-09-09,0.004285026094346181,46303774477
2024-09-16,-0.0020752222915583624,46303774477
2024-09-23,0.013608084834499082,46303774477
2024-09-30,0.031384972260583566,46303774477
2024-10-07,0.025453804010070687,46303774477
2024-10-14,0.000671356222521409,46303774477
2024-10-21,-0.009445338869426223,46303774477
2024-10-28,0.01366755658720573,46303774477
2024-11-04,0.043252297450767724,46303774477
2024-11-11,0.035804353710741754,46303774477
2024-11-18,-0.008750227031269035,46303774477
2024-11-25,-0.030665752306498914,46303774477
2024-12-02,0.030498575676890127,46303774477
2024-12-09,0.16059465657676855,46303774477
2024-12-16,0.2679501662293005,46303774477
2024-12-23,0.2661659480485635,46303774477
2024-12-30,0.1585947216055475,46303774477
2025-01-06,0.03427937969756222,46303774477
2025-01-13,-0.019647510228767824,46303774477
2025-01-20,0.004880943666377813,46303774477
2025-01-27,0.04709368373755196,46303774477
2025-02-03,0.05261292667959376,46303774477
2025-02-10,0.025528677066303025,46303774477
2025-02-17,0.007007020946952595,46303774477
2025-02-24,0.018368303985994837,46303774477
2025-03-03,0.03966506885059253,46303774477
2025-03-10,0.04190447893226039,46303774477
2025-03-17,0.024923997854710837,46303774477
2025-03-24,0.01346276740705226,46303774477
2025-03-31,0.0220864015499262,46303774477
2025-04-07,0.03733219085463851,46303774477
2025-04-14,0.03817385981211814,46303774477
2025-04-21,0.02456139444868801,46303774477
2025-04-28,0.015946348613144232,46303774477
2025-05-05,0.023899420235838194,46303774477
2025-05-12,0.036830921573111325,46303774477
